target_id,human_symbol,status,mapping_ambiguous,mouse_symbols,mgi_accession_ids,phenotyping_data_available,distinct_significant_mp_terms_sum,successful_statistical_results,distinct_tested_parameters_max,distinct_tested_procedures_max,homozygous_tested_procedures,eligible_observed_zero,impc_release,release_date
5064,BIRC3,phenotyped_no_significant_phenotype,False,Birc3,MGI:1197007,True,0,133,133,13,13,True,DR24,2026-03-16
4281,BPI,phenotyped_no_significant_phenotype,False,Bpi,MGI:3045315,True,0,155,147,16,16,True,DR24,2026-03-16
4876,BRAF,mapped_no_phenotyping,False,Braf,MGI:88190,False,0,0,0,0,0,False,DR24,2026-03-16
1531,BRDT,phenotyped_no_significant_phenotype,False,Brdt,MGI:1891374,True,0,177,149,15,15,True,DR24,2026-03-16
18470,BTLA,mapped_no_phenotyping,False,Btla,MGI:2658978,False,0,0,0,0,0,False,DR24,2026-03-16
174,C1S,mapped_no_phenotyping,True,C1s1|C1s2,MGI:1355312|MGI:3644269,False,0,0,0,0,0,False,DR24,2026-03-16
1307,C3,phenotyped_no_significant_phenotype,False,C3,MGI:88227,True,0,262,262,23,23,True,DR24,2026-03-16
247,C5,current_significant_phenotype,False,Hc,MGI:96031,True,1,174,174,20,20,False,DR24,2026-03-16
2285,C5AR1,mapped_no_phenotyping,False,C5ar1,MGI:88232,False,0,0,0,0,0,False,DR24,2026-03-16
5378,CA8,current_significant_phenotype,False,Car8,MGI:88253,True,4,98,98,9,9,False,DR24,2026-03-16
7241,CACNA1H,mapped_no_phenotyping,False,Cacna1h,MGI:1928842,False,0,0,0,0,0,False,DR24,2026-03-16
1880,CALCA,mapped_no_phenotyping,False,Calca,MGI:2151253,False,0,0,0,0,0,False,DR24,2026-03-16
635,CALCRL,mapped_no_phenotyping,False,Calcrl,MGI:1926944,False,0,0,0,0,0,False,DR24,2026-03-16
3955,CAPN1,mapped_no_phenotyping,False,Capn1,MGI:88263,False,0,0,0,0,0,False,DR24,2026-03-16
3252,CASP3,mapped_no_phenotyping,False,Casp3,MGI:107739,False,0,0,0,0,0,False,DR24,2026-03-16
4615,CASP9,mapped_no_phenotyping,False,Casp9,MGI:1277950,False,0,0,0,0,0,False,DR24,2026-03-16
2604,CCL11,mapped_no_phenotyping,False,Ccl11,MGI:103576,False,0,0,0,0,0,False,DR24,2026-03-16
3819,CCN2,mapped_no_phenotyping,False,Ccn2,MGI:95537,False,0,0,0,0,0,False,DR24,2026-03-16
3967,CCND1,mapped_no_phenotyping,False,Ccnd1,MGI:88313,False,0,0,0,0,0,False,DR24,2026-03-16
6779,CCR4,mapped_no_phenotyping,False,Ccr4,MGI:107824,False,0,0,0,0,0,False,DR24,2026-03-16
2445,CCR5,mapped_no_phenotyping,False,Ccr5,MGI:107182,False,0,0,0,0,0,False,DR24,2026-03-16
4887,CD1D,current_significant_phenotype,False,Cd1d1,MGI:107674,True,3,168,168,12,12,False,DR24,2026-03-16
1556,CD274,mapped_no_phenotyping,False,Cd274,MGI:1926446,False,0,0,0,0,0,False,DR24,2026-03-16
5715,CD3E,mapped_no_phenotyping,False,Cd3e,MGI:88332,False,0,0,0,0,0,False,DR24,2026-03-16
1224,CD4,mapped_no_phenotyping,False,Cd4,MGI:88335,False,0,0,0,0,0,False,DR24,2026-03-16
1439,CD40,phenotyped_no_significant_phenotype,False,Cd40,MGI:88336,True,0,142,142,16,16,True,DR24,2026-03-16
1200,CD40LG,mapped_no_phenotyping,False,Cd40lg,MGI:88337,False,0,0,0,0,0,False,DR24,2026-03-16
3795,CD44,mapped_no_phenotyping,False,Cd44,MGI:88338,False,0,0,0,0,0,False,DR24,2026-03-16
1548,CD47,mapped_no_phenotyping,False,Cd47,MGI:96617,False,0,0,0,0,0,False,DR24,2026-03-16
4299,CD70,mapped_no_phenotyping,False,Cd70,MGI:1195273,False,0,0,0,0,0,False,DR24,2026-03-16
2947,CDK1,mapped_no_phenotyping,False,Cdk1,MGI:88351,False,0,0,0,0,0,False,DR24,2026-03-16
3792,CDK2,mapped_no_phenotyping,False,Cdk2,MGI:104772,False,0,0,0,0,0,False,DR24,2026-03-16
2321,CEACAM6,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
11,CETP,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
327,CFTR,mapped_no_phenotyping,False,Cftr,MGI:88388,False,0,0,0,0,0,False,DR24,2026-03-16
4269,CHEK1,mapped_no_phenotyping,False,Chek1,MGI:1202065,False,0,0,0,0,0,False,DR24,2026-03-16
5634,CHRM1,mapped_no_phenotyping,False,Chrm1,MGI:88396,False,0,0,0,0,0,False,DR24,2026-03-16
5196,CHRM2,mapped_no_phenotyping,False,Chrm2,MGI:88397,False,0,0,0,0,0,False,DR24,2026-03-16
2293,CHRM3,mapped_no_phenotyping,False,Chrm3,MGI:88398,False,0,0,0,0,0,False,DR24,2026-03-16
7009,CKAP2,mapped_no_phenotyping,False,Ckap2,MGI:1931797,False,0,0,0,0,0,False,DR24,2026-03-16
2188,CLCN2,mapped_no_phenotyping,False,Clcn2,MGI:105061,False,0,0,0,0,0,False,DR24,2026-03-16
16756,CLDN2,mapped_no_phenotyping,False,Cldn2,MGI:1276110,False,0,0,0,0,0,False,DR24,2026-03-16
1870,CMA1,mapped_no_phenotyping,False,Cma1,MGI:96941,False,0,0,0,0,0,False,DR24,2026-03-16
1691,COL1A1,mapped_no_phenotyping,False,Col1a1,MGI:88467,False,0,0,0,0,0,False,DR24,2026-03-16
1808,COMP,mapped_no_phenotyping,False,Comp,MGI:88469,False,0,0,0,0,0,False,DR24,2026-03-16
21656,COX6A1,phenotyped_no_significant_phenotype,False,Cox6a1,MGI:103099,True,0,121,121,12,0,False,DR24,2026-03-16
2559,CRHR1,mapped_no_phenotyping,False,Crhr1,MGI:88498,False,0,0,0,0,0,False,DR24,2026-03-16
17081,CRYL1,phenotyped_no_significant_phenotype,False,Cryl1,MGI:1915881,True,0,28,28,5,5,False,DR24,2026-03-16
2880,CSF1,mapped_no_phenotyping,False,Csf1,MGI:1339753,False,0,0,0,0,0,False,DR24,2026-03-16
1363,CSF2,phenotyped_no_significant_phenotype,False,Csf2,MGI:1339752,True,0,129,103,6,6,False,DR24,2026-03-16
17852,CSF2RA,mapped_no_phenotyping,False,Csf2ra,MGI:1339754,False,0,0,0,0,0,False,DR24,2026-03-16
5476,CSNK2A1,mapped_no_phenotyping,False,Csnk2a1,MGI:88543,False,0,0,0,0,0,False,DR24,2026-03-16
4535,CTLA4,mapped_no_phenotyping,False,Ctla4,MGI:88556,False,0,0,0,0,0,False,DR24,2026-03-16
4452,CTSC,mapped_no_phenotyping,False,Ctsc,MGI:109553,False,0,0,0,0,0,False,DR24,2026-03-16
381,CXCL8,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
