target_id,human_symbol,old_feature_value,new_feature_value,resolved_status,change,mouse_symbols,homozygous_tested_procedures,impc_release,release_date
17728,RARG,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rarg,0,DR24,2026-03-16
27922,REEP4,0.0,,not_phenotyped,synthetic_zero_to_unknown,Reep4,0,DR24,2026-03-16
660,REN,0.0,0.0,adequately_phenotyped_no_significant,unchanged,Ren1,14,DR24,2026-03-16
2736,RET,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ret,0,DR24,2026-03-16
6205,RGMA,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rgma,0,DR24,2026-03-16
3893,RIPK1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ripk1,0,DR24,2026-03-16
22789,RNASEH1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rnaseh1,0,DR24,2026-03-16
1679,ROCK2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rock2,0,DR24,2026-03-16
27948,ROGDI,0.0,,insufficient_phenotyping,synthetic_zero_to_unknown,Rogdi,1,DR24,2026-03-16
4534,RORC,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rorc,0,DR24,2026-03-16
3154,ROS1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ros1,0,DR24,2026-03-16
3274,RPSA,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rpsa,0,DR24,2026-03-16
904,RSPO3,,,not_phenotyped,remains_unknown,Rspo3,0,DR24,2026-03-16
6888,RTL1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rtl1,0,DR24,2026-03-16
1526,RXFP1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rxfp1,0,DR24,2026-03-16
21697,RXRB,0.0,,not_phenotyped,synthetic_zero_to_unknown,Rxrb,0,DR24,2026-03-16
2646,S1PR1,0.0,,not_phenotyped,synthetic_zero_to_unknown,S1pr1,0,DR24,2026-03-16
1504,S1PR5,,,not_phenotyped,remains_unknown,S1pr5,0,DR24,2026-03-16
4803,SARDH,0.0,,insufficient_phenotyping,synthetic_zero_to_unknown,Sardh,8,DR24,2026-03-16
22186,SC5D,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sc5d,0,DR24,2026-03-16
27930,SCDP1,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
5590,SCN10A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Scn10a,0,DR24,2026-03-16
6083,SCN1A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Scn1a,0,DR24,2026-03-16
308,SCN5A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Scn5a,0,DR24,2026-03-16
6086,SCN9A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Scn9a,0,DR24,2026-03-16
1253,SELE,,,not_phenotyped,remains_unknown,Sele,0,DR24,2026-03-16
1121,SELP,0.0,,not_phenotyped,synthetic_zero_to_unknown,Selp,0,DR24,2026-03-16
1646,SELPLG,0.0,,not_phenotyped,synthetic_zero_to_unknown,Selplg,0,DR24,2026-03-16
48,SERPINA1,0.0,,mapping_ambiguous,synthetic_zero_to_unknown,Serpina1a|Serpina1b|Serpina1c|Serpina1d|Serpina1e,0,DR24,2026-03-16
110,SERPINC1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Serpinc1,0,DR24,2026-03-16
51,SERPINH1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Serpinh1,0,DR24,2026-03-16
2998,SESN2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sesn2,0,DR24,2026-03-16
17847,SIGLEC8,0.0,,not_phenotyped,synthetic_zero_to_unknown,Siglece,0,DR24,2026-03-16
18003,SLAMF7,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slamf7,0,DR24,2026-03-16
5906,SLC11A2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slc11a2,0,DR24,2026-03-16
4612,SLC12A3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slc12a3,0,DR24,2026-03-16
6163,SLC18A2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slc18a2,0,DR24,2026-03-16
4466,SLC22A12,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slc22a12,0,DR24,2026-03-16
5400,SLC3A2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slc3a2,0,DR24,2026-03-16
1730,SLC5A1,,,not_phenotyped,remains_unknown,Slc5a1,0,DR24,2026-03-16
6155,SLC6A1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slc6a1,0,DR24,2026-03-16
6393,SLC6A9,0.0,,not_phenotyped,synthetic_zero_to_unknown,Slc6a9,0,DR24,2026-03-16
98,SMAD7,0.0,,not_phenotyped,synthetic_zero_to_unknown,Smad7,0,DR24,2026-03-16
16890,SMN2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Smn1,0,DR24,2026-03-16
5212,SMPD1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Smpd1,0,DR24,2026-03-16
3651,SNCG,0.0,0.0,adequately_phenotyped_no_significant,unchanged,Sncg,24,DR24,2026-03-16
1296,SOAT1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Soat1,0,DR24,2026-03-16
1485,SOD1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sod1,0,DR24,2026-03-16
831,SOD2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sod2,0,DR24,2026-03-16
7082,SOS1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sos1,0,DR24,2026-03-16
1082,SOST,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sost,0,DR24,2026-03-16
27765,SPAM1,0.0,,mapping_ambiguous,synthetic_zero_to_unknown,Hyal5|Spam1,0,DR24,2026-03-16
6494,SPHK2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sphk2,0,DR24,2026-03-16
2291,STAT3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Stat3,0,DR24,2026-03-16
6272,SV2A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Sv2a,0,DR24,2026-03-16
17042,TAAR1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Taar1,0,DR24,2026-03-16
6284,TACR1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tacr1,0,DR24,2026-03-16
5831,TAS2R62P,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
1500,TBXT,0.0,,not_phenotyped,synthetic_zero_to_unknown,T,0,DR24,2026-03-16
571,TERT,,,not_phenotyped,remains_unknown,Tert,0,DR24,2026-03-16
1489,TF,0.0,13.0,significant_phenotype,synthetic_zero_to_observed,Trf,7,DR24,2026-03-16
1170,TFPI,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tfpi,0,DR24,2026-03-16
161,TGFB1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tgfb1,0,DR24,2026-03-16
3305,TGFBR1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tgfbr1,0,DR24,2026-03-16
2949,TLR3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tlr3,0,DR24,2026-03-16
891,TLR5,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tlr5,0,DR24,2026-03-16
6485,TLR7,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tlr7,0,DR24,2026-03-16
3406,TLR8,,,not_phenotyped,remains_unknown,Tlr8,0,DR24,2026-03-16
2801,TLR9,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tlr9,0,DR24,2026-03-16
2886,TNC,,,not_phenotyped,remains_unknown,Tnc,0,DR24,2026-03-16
644,TNF,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tnf,0,DR24,2026-03-16
7218,TNFRSF13C,,,not_phenotyped,remains_unknown,Tnfrsf13c,0,DR24,2026-03-16
1448,TNFRSF4,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tnfrsf4,0,DR24,2026-03-16
7248,TNFRSF8,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tnfrsf8,0,DR24,2026-03-16
3331,TNFSF11,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tnfsf11,0,DR24,2026-03-16
4082,TNFSF13,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tnfsf13,0,DR24,2026-03-16
1471,TNFSF13B,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tnfsf13b,0,DR24,2026-03-16
3003,TNFSF14,,,not_phenotyped,remains_unknown,Tnfsf14,0,DR24,2026-03-16
1255,TNFSF4,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tnfsf4,0,DR24,2026-03-16
872,TOP1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Top1,0,DR24,2026-03-16
1467,TP53,0.0,5.0,significant_phenotype,synthetic_zero_to_observed,Trp53,13,DR24,2026-03-16
27912,TPD52L3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Trpd52l3,0,DR24,2026-03-16
6204,TPH1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tph1,0,DR24,2026-03-16
1454,TREM2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Trem2,0,DR24,2026-03-16
27993,TRGV4,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
34830,TRM1,,,mapping_unresolved,remains_unknown,,0,DR24,2026-03-16
17251,TRPC4,0.0,,not_phenotyped,synthetic_zero_to_unknown,Trpc4,0,DR24,2026-03-16
16983,TRPC5,0.0,,insufficient_phenotyping,synthetic_zero_to_unknown,Trpc5,8,DR24,2026-03-16
3395,TRPC6,0.0,0.0,adequately_phenotyped_no_significant,unchanged,Trpc6,14,DR24,2026-03-16
6201,TRPM8,0.0,,not_phenotyped,synthetic_zero_to_unknown,Trpm8,0,DR24,2026-03-16
2957,TRPV1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Trpv1,0,DR24,2026-03-16
27842,TTYH2,0.0,0.0,adequately_phenotyped_no_significant,unchanged,Ttyh2,16,DR24,2026-03-16
259,TUBB,0.0,,not_phenotyped,synthetic_zero_to_unknown,Tubb5,0,DR24,2026-03-16
2153,TXN,0.0,,not_phenotyped,synthetic_zero_to_unknown,Txn1,0,DR24,2026-03-16
1402,TYMS,0.0,,insufficient_phenotyping,synthetic_zero_to_unknown,Tyms,0,DR24,2026-03-16
7238,UBA3,,,not_phenotyped,remains_unknown,Uba3,0,DR24,2026-03-16
3817,UTRN,,,not_phenotyped,remains_unknown,Utrn,0,DR24,2026-03-16
222,VEGFA,0.0,,not_phenotyped,synthetic_zero_to_unknown,Vegfa,0,DR24,2026-03-16
213,VWF,0.0,,not_phenotyped,synthetic_zero_to_unknown,Vwf,0,DR24,2026-03-16
7060,XCL1,0.0,0.0,adequately_phenotyped_no_significant,unchanged,Xcl1,16,DR24,2026-03-16
3636,ZNF606,0.0,,insufficient_phenotyping,synthetic_zero_to_unknown,Zfp606,0,DR24,2026-03-16
27865,ZNF829,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
